Year;Years after milling;Station;Datum;Pairnr;Treatment;Jordtyp;Vegetation height cm;Litter depth cm;Dug holes;No.subplots.with.more.than.50.bare.soil;No.subplots.with.more.than.50.rock;Area for growth m2;No.subplots.with.more.than.50.grass;Art;Occurrences out of 25;Species;Family;Tree/bush
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Brunört;14;Prunella vulgaris;Lamiaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Ängssyra;4;Rumex acetosa;Polygonaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Hönsarv;3;Cerastium fontanum;Caryophyllaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Vårtbjörk;15;Betula pendula;Betulaceae;1
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Humlelusern;3;Medicago lupulina;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Äkta johannesört;18;Hypericum perforatum;Hypericaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Rödsvingel;24;Festuca rubra;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Knippfryle;18;Luzula campestris;Juncaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Ängsklocka;1;Campanula patula;Campanulaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Rödven;4;Agrostis capillaris;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Åkerfräken;15;Equisetum arvense;Equisetaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Rödklöver;2;Trifolium pratense;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Åkerfräken;11;Equisetum arvense;Equisetaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Renfana;4;Tanacetum vulgare;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Knippfryle;10;Luzula campestris;Juncaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Käringtand;5;Lotus corniculatus;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Humlelusern;3;Medicago lupulina;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Äkta johannesört;12;Hypericum perforatum;Hypericaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Rödklöver;3;Trifolium pratense;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Vårtbjörk;18;Betula pendula;Betulaceae;1
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Rödsvingel;24;Festuca rubra;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Rödven;1;Agrostis capillaris;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Ängsklocka;1;Campanula patula;Campanulaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Ängsgröe;3;Poa pratensis;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Rödven;16;Agrostis capillaris;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Kråkvicker;4;Vicia cracca;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Renfana;6;Tanacetum vulgare;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Humlelusern;13;Medicago lupulina;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Vårtbjörk;19;Betula pendula;Betulaceae;1
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Gran;1;Picea abies;Pinaceae;1
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Sälg;2;Salix caprea;Salicaceae;1
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Äkta johannesört;13;Hypericum perforatum;Hypericaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Svinmolke;2;Sonchus asper;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Hönsarv;6;Cerastium fontanum;Caryophyllaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Åkervädd;1;Knautia arvensis;Caprifoliaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Teveronika;2;Veronica chamaedrys;Plantaginaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Stormåra;1;Gallium mollugo;Rubiaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Ängsklocka;1;Campanula patula;Campanulaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Hägg;1;Prunus padus;Rosaceae;1
2020;Year 1;Norra Valbo;2020-06-15;7;Milled;;0;0;0;24;1;0,24;0;Åkerfräken;8;Equisetum arvense;Equisetaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Milled;;0;0;0;24;1;0,24;0;Äkta johannesört;11;Hypericum perforatum;Hypericaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Milled;;0;0;0;24;1;0,24;0;Tall;1;Pinus sylvestris;Pinaceae;1
2020;Year 1;Norra Valbo;2020-06-15;7;Milled;;0;0;0;24;1;0,24;0;Kvickrot;1;Elytrigia repens;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Milled;;0;0;0;24;1;0,24;0;Knippfryle;1;Luzula campestris;Juncaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Milled;;0;0;0;24;1;0,24;0;Humlelusern;2;Medicago lupulina;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Milled;;0;0;0;24;1;0,24;0;Ängssyra;1;Rumex acetosa;Polygonaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Milled;;0;0;0;24;1;0,24;0;Svinmolke;1;Sonchus asper;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Milled;;0;0;0;24;1;0,24;0;Rödven;3;Agrostis capillaris;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Milled;;0;0;0;24;1;0,24;0;Rödsvingel;1;Festuca rubra;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Milled;;0;0;2;23;2;0,23;0;Åkerfräken;25;Equisetum arvense;Equisetaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Milled;;0;0;2;23;2;0,23;0;Kråkvicker;1;Vicia cracca;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Milled;;0;0;2;23;2;0,23;0;Knippfryle;3;Luzula campestris;Juncaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Milled;;0;0;2;23;2;0,23;0;Rödven;7;Agrostis capillaris;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Milled;;0;0;2;23;2;0,23;0;Svinmolke;2;Sonchus asper;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Milled;;0;0;2;23;2;0,23;0;Humlelusern;5;Medicago lupulina;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Milled;;0;0;2;23;2;0,23;0;Hönsarv;2;Cerastium fontanum;Caryophyllaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Milled;;0;0;2;23;2;0,23;0;Ängsklocka;6;Campanula patula;Campanulaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Milled;;0;0;2;23;2;0,23;0;Äkta johannesört;1;Hypericum perforatum;Hypericaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Milled;;0;0;0;23;2;0,23;0;Åkervädd;1;Knautia arvensis;Caprifoliaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Milled;;0;0;0;23;2;0,23;0;Äkta johannesört;5;Hypericum perforatum;Hypericaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Milled;;0;0;0;23;2;0,23;0;Humlelusern;10;Medicago lupulina;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Milled;;0;0;0;23;2;0,23;0;Åkerfräken;13;Equisetum arvense;Equisetaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Milled;;0;0;0;23;2;0,23;0;Höstfibbla;1;Scorzoneroides autumnalis;Asteraceae;0
