Station:;Datum;Behandling;Ruta;Art;Species;Fältkommentar;Slåtter
Brunflo;20170718;Ytskrapning;6;Kummin;Carum carvi;;
Brunflo;20170718;Ytskrapning;6;Lundelm;Elymus caninus;;
Brunflo;20170718;Ytskrapning;6;Mjölkört;Chamaenerion angustifolium;;
Brunflo;20170718;Ytskrapning;6;Renfana;Tanacetum vulgare;;
Brunflo;20170718;Ytskrapning;6;Rödklöver;Trifolium pratense;;
Brunflo;20170718;Ytskrapning;6;Rödsvingel;Festuca rubra;;
Brunflo;20170718;Ytskrapning;6;Röllika;Achillea millefolium;;
Brunflo;20170718;Ytskrapning;6;Sandnarv;Arenaria serpyllifolia;;
Brunflo;20170718;Ytskrapning;6;Småsporre;Chaenorhinum minus;;
Brunflo;20170718;Ytskrapning;6;Stormåra;Gallium mollugo;;
Brunflo;20170718;Ytskrapning;6;Storven;Agrostis gigantea;;
Brunflo;20170718;Ytskrapning;6;Vitklöver;Trifolium repens;;
Mattmar;20170722;Ytskrapning;1;Betula sp.;Betula sp.;;
Mattmar;20170722;Ytskrapning;1;Epilobium sp.;Epilobium sp.;;
Mattmar;20170722;Ytskrapning;1;Festuca sp.;Festuca sp.;skott;
Mattmar;20170722;Ytskrapning;1;Fjällgröe;Poa alpina;;
Mattmar;20170722;Ytskrapning;1;Gatkamomill;Matricaria discoidea;;
Mattmar;20170722;Ytskrapning;1;Gråbo;Artemisia vulgaris;;
Mattmar;20170722;Ytskrapning;1;Hundäxing;Dactylis glomerata;;
Mattmar;20170722;Ytskrapning;1;Klofibbla;Crepis tectorum;;
Mattmar;20170722;Ytskrapning;1;Krustistel;Carduus crispus;;
Mattmar;20170722;Ytskrapning;1;Kråkvicker;Vicia cracca;;
Mattmar;20170722;Ytskrapning;1;Kvickrot;Elytrigia repens;;
Mattmar;20170722;Ytskrapning;1;Käringtand;Lotus corniculatus;;
Mattmar;20170722;Ytskrapning;1;Nordbaldersbrå;Tripleurospermum maritimum subsp. subpolare;;
Mattmar;20170722;Ytskrapning;1;Rödklöver;Trifolium pratense;;
Mattmar;20170722;Ytskrapning;1;Rödsvingel;Festuca rubra;;
Mattmar;20170722;Ytskrapning;1;Rödven;Agrostis capillaris;;
Mattmar;20170722;Ytskrapning;1;Röllika;Achillea millefolium;;
Mattmar;20170722;Ytskrapning;1;Sandnarv;Arenaria serpyllifolia;;
Mattmar;20170722;Ytskrapning;1;Sandtrav;Arabidopsis arenosa;;
Mattmar;20170722;Ytskrapning;1;Sandtrav;Arabidopsis arenosa;;
Mattmar;20170722;Ytskrapning;1;Storven;Agrostis gigantea;;
Mattmar;20170722;Ytskrapning;1;Taraxacum sp.;Taraxacum sp.;;
Mattmar;20170722;Ytskrapning;1;Timotej;Phleum pratense;;
Mattmar;20170722;Ytskrapning;2;Epilobium sp.;Epilobium sp.;;
Mattmar;20170722;Ytskrapning;2;Foderlosta;Bromopsis inermis;;
Mattmar;20170722;Ytskrapning;2;Gatkamomill;Matricaria discoidea;;
Mattmar;20170722;Ytskrapning;2;Gråbo;Artemisia vulgaris;;
Mattmar;20170722;Ytskrapning;2;Gulvial;Lathyrus pratensis;;
Mattmar;20170722;Ytskrapning;2;Höstfibbla;Scorzoneroides autumnalis;;
Mattmar;20170722;Ytskrapning;2;Klofibbla;Crepis tectorum;;
Mattmar;20170722;Ytskrapning;2;Krustistel;Carduus crispus;;
Mattmar;20170722;Ytskrapning;2;Kråkvicker;Vicia cracca;;
Mattmar;20170722;Ytskrapning;2;Käringtand;Lotus corniculatus;;
Mattmar;20170722;Ytskrapning;2;Mjölkört;Chamaenerion angustifolium;;
Mattmar;20170722;Ytskrapning;2;Rödklöver;Trifolium pratense;;
Mattmar;20170722;Ytskrapning;2;Rödsvingel?;#N/A;små skott;
Mattmar;20170722;Ytskrapning;2;Röllika;Achillea millefolium;;
Mattmar;20170722;Ytskrapning;2;Sandtrav;Arabidopsis arenosa;;
Mattmar;20170722;Ytskrapning;2;Sandtrav;Arabidopsis arenosa;;
Mattmar;20170722;Ytskrapning;2;Storven;Agrostis gigantea;;
Mattmar;20170722;Ytskrapning;2;Taraxacum sp.;Taraxacum sp.;;
Mattmar;20170722;Ytskrapning;2;Timotej;Phleum pratense;;
Mattmar;20170722;Ytskrapning;3;Bergrör;Calamagrostis epigejos;;
Mattmar;20170722;Ytskrapning;3;Gatkamomill;Matricaria discoidea;;
Mattmar;20170722;Ytskrapning;3;Gråbo;Artemisia vulgaris;;
Mattmar;20170722;Ytskrapning;3;Gulvial;Lathyrus pratensis;;
Mattmar;20170722;Ytskrapning;3;Hundäxing;Dactylis glomerata;;
Mattmar;20170722;Ytskrapning;3;Klofibbla;Crepis tectorum;;
Mattmar;20170722;Ytskrapning;3;Kråkvicker;Vicia cracca;;
Mattmar;20170722;Ytskrapning;3;Kvickrot;Elytrigia repens;;
Mattmar;20170722;Ytskrapning;3;Rödklöver;Trifolium pratense;;
Mattmar;20170722;Ytskrapning;3;Rödsvingel?;#N/A;små skott men likt i jämförelse med mer välutvecklade plantor;
Mattmar;20170722;Ytskrapning;3;Röllika;Achillea millefolium;;
Mattmar;20170722;Ytskrapning;3;Sandtrav;Arabidopsis arenosa;;
Mattmar;20170722;Ytskrapning;3;Stormåra;Gallium mollugo;;
Mattmar;20170722;Ytskrapning;3;Storven;Agrostis gigantea;;
Mattmar;20170722;Ytskrapning;3;Taraxacum sp.;Taraxacum sp.;;
Mattmar;20170722;Ytskrapning;3;Timotej;Phleum pratense;;
Mattmar;20170722;Ytskrapning;4;Bergrör;Calamagrostis epigejos;;
Mattmar;20170722;Ytskrapning;4;Bockrot;Pimpinella saxifraga;;
Mattmar;20170722;Ytskrapning;4;Gatkamomill;Matricaria discoidea;;
Mattmar;20170722;Ytskrapning;4;Gråbo;Artemisia vulgaris;;
Mattmar;20170722;Ytskrapning;4;Hundäxing;Dactylis glomerata;;
Mattmar;20170722;Ytskrapning;4;Klofibbla;Crepis tectorum;;
Mattmar;20170722;Ytskrapning;4;Kvickrot;Elytrigia repens;;
Mattmar;20170722;Ytskrapning;4;Käringtand;Lotus corniculatus;;
Mattmar;20170722;Ytskrapning;4;Rödklöver;Trifolium pratense;;
Mattmar;20170722;Ytskrapning;4;Rödsvingel?;#N/A;små skott men likt i jämförelse med mer välutvecklade plantor;
Mattmar;20170722;Ytskrapning;4;Röllika;Achillea millefolium;;
Mattmar;20170722;Ytskrapning;4;Sandnarv;Arenaria serpyllifolia;;
Mattmar;20170722;Ytskrapning;4;Sandtrav;Arabidopsis arenosa;;
Mattmar;20170722;Ytskrapning;4;Sandtrav;Arabidopsis arenosa;;
Mattmar;20170722;Ytskrapning;4;Stormåra;Gallium mollugo;;
Mattmar;20170722;Ytskrapning;4;Storven;Agrostis gigantea;;
Mattmar;20170722;Ytskrapning;4;Taraxacum sp.;Taraxacum sp.;;
Mattmar;20170722;Ytskrapning;4;Timotej?;#N/A;små skott men likt i jämförelse med mer välutvecklade plantor;
Mattmar;20170722;Ytskrapning;4;Åkervädd;Knautia arvensis;;
Mattmar;20170722;Ytskrapning;5;Bergrör;Calamagrostis epigejos;;
Mattmar;20170722;Ytskrapning;5;Bockrot;Pimpinella saxifraga;;
Mattmar;20170722;Ytskrapning;5;Gråbo;Artemisia vulgaris;;
Mattmar;20170722;Ytskrapning;5;Groblad;Plantago major;;
Mattmar;20170722;Ytskrapning;5;Klofibbla;Crepis tectorum;;
Mattmar;20170722;Ytskrapning;5;Kråkvicker;Vicia cracca;;
Mattmar;20170722;Ytskrapning;5;Rödklöver;Trifolium pratense;;
Mattmar;20170722;Ytskrapning;5;Rödsvingel;Festuca rubra;;
Mattmar;20170722;Ytskrapning;5;Röllika;Achillea millefolium;;
Mattmar;20170722;Ytskrapning;5;Stormåra;Gallium mollugo;;
Mattmar;20170722;Ytskrapning;5;Storven;Agrostis gigantea;;
Mattmar;20170722;Ytskrapning;5;Timotej;Phleum pratense;;
Mattmar;20170722;Ytskrapning;5;Vitklöver;Trifolium repens;;
Mattmar;20170722;Ytskrapning;6;Bockrot;Pimpinella saxifraga;;
Mattmar;20170722;Ytskrapning;6;Foderlosta;Bromopsis inermis;;
Mattmar;20170722;Ytskrapning;6;Gatkamomill;Matricaria discoidea;;
Mattmar;20170722;Ytskrapning;6;Gråbo;Artemisia vulgaris;;
Mattmar;20170722;Ytskrapning;6;Gulvial;Lathyrus pratensis;;
Mattmar;20170722;Ytskrapning;6;Klofibbla;Crepis tectorum;;
Mattmar;20170722;Ytskrapning;6;Krustistel;Carduus crispus;;
Mattmar;20170722;Ytskrapning;6;Kråkvicker;Vicia cracca;;
Mattmar;20170722;Ytskrapning;6;Käringtand;Lotus corniculatus;;
Mattmar;20170722;Ytskrapning;6;Rödklöver;Trifolium pratense;;
Mattmar;20170722;Ytskrapning;6;Rödsvingel;Festuca rubra;;
Mattmar;20170722;Ytskrapning;6;Röllika;Achillea millefolium;;
Mattmar;20170722;Ytskrapning;6;Sandnarv;Arenaria serpyllifolia;;
Mattmar;20170722;Ytskrapning;6;Sandtrav;Arabidopsis arenosa;;
Mattmar;20170722;Ytskrapning;6;Stormåra;Gallium mollugo;;
Mattmar;20170722;Ytskrapning;6;Storven;Agrostis gigantea;;
Mattmar;20170722;Ytskrapning;6;Taraxacum sp.;Taraxacum sp.;;
Mattmar;20170722;Ytskrapning;6;Timotej;Phleum pratense;;
Mattmar;20170722;Ytskrapning;6;Vitklöver;Trifolium repens;;
Mattmar;20170722;Ytskrapning;6;Åkervädd;Knautia arvensis;;
Ope;20170719;Ytskrapning;1;Bockrot;Pimpinella saxifraga;;
Ope;20170719;Ytskrapning;1;Färgkulla;Cota tinctoria;;
Ope;20170719;Ytskrapning;1;Getväppling;Anthyllis vulneraria;;
Ope;20170719;Ytskrapning;1;Grustrav;Arabidopsis suecica;;
Ope;20170719;Ytskrapning;1;Hundäxing;Dactylis glomerata;;
Ope;20170719;Ytskrapning;1;Höstfibbla;Scorzoneroides autumnalis;;
Ope;20170719;Ytskrapning;1;Kummin;Carum carvi;;
Ope;20170719;Ytskrapning;1;Käringtand;Lotus corniculatus;;
Ope;20170719;Ytskrapning;1;Liten blåklocka;Campanula rotundifolia;;
Ope;20170719;Ytskrapning;1;Maskros;Taraxacum;;
Ope;20170719;Ytskrapning;1;Rödklöver;Trifolium pratense;;
Ope;20170719;Ytskrapning;1;Rödsvingel;Festuca rubra;;
Ope;20170719;Ytskrapning;1;Röllika;Achillea millefolium;;
Ope;20170719;Ytskrapning;1;Sandnarv;Arenaria serpyllifolia;;
Ope;20170719;Ytskrapning;1;Stormåra;Gallium mollugo;;
Ope;20170719;Ytskrapning;1;Åkervädd;Knautia arvensis;;
Ope;20170719;Ytskrapning;2;Backskärvfrö;Noccaea caerulescens;;
Ope;20170719;Ytskrapning;2;Bockrot;Pimpinella saxifraga;;
Ope;20170719;Ytskrapning;2;Fjällvedel;Astragalus alpinus;;
Ope;20170719;Ytskrapning;2;Färgkulla;Cota tinctoria;;
Ope;20170719;Ytskrapning;2;Getväppling;Anthyllis vulneraria;;
Ope;20170719;Ytskrapning;2;Grustrav;Arabidopsis suecica;;
Ope;20170719;Ytskrapning;2;Hundäxing;Dactylis glomerata;;
Ope;20170719;Ytskrapning;2;Höstfibbla;Scorzoneroides autumnalis;;
Ope;20170719;Ytskrapning;2;Kummin;Carum carvi;;
Ope;20170719;Ytskrapning;2;Maskros;Taraxacum;;
Ope;20170719;Ytskrapning;2;Rödklöver;Trifolium pratense;;
Ope;20170719;Ytskrapning;2;Rödsvingel;Festuca rubra;;
Ope;20170719;Ytskrapning;2;Röllika;Achillea millefolium;;
Ope;20170719;Ytskrapning;2;Sandnarv;Arenaria serpyllifolia;;
Ope;20170719;Ytskrapning;2;Stormåra;Gallium mollugo;;
Ope;20170719;Ytskrapning;2;Svenskfibbla;Pilosella suecica;;
Ope;20170719;Ytskrapning;3;Backskärvfrö;Noccaea caerulescens;;
Ope;20170719;Ytskrapning;3;Bockrot;Pimpinella saxifraga;;
Ope;20170719;Ytskrapning;3;Fjällvedel;Astragalus alpinus;;
Ope;20170719;Ytskrapning;3;Getväppling;Anthyllis vulneraria;;
Ope;20170719;Ytskrapning;3;Grustrav;Arabidopsis suecica;;
Ope;20170719;Ytskrapning;3;Hundäxing;Dactylis glomerata;;
Ope;20170719;Ytskrapning;3;Höstfibbla;Scorzoneroides autumnalis;;
Ope;20170719;Ytskrapning;3;Kummin;Carum carvi;;
Ope;20170719;Ytskrapning;3;Maskros;Taraxacum;;
Ope;20170719;Ytskrapning;3;Rödklöver;Trifolium pratense;;
Ope;20170719;Ytskrapning;3;Rödsvingel?;#N/A;Små plantor;
Ope;20170719;Ytskrapning;3;Röllika;Achillea millefolium;;
Ope;20170719;Ytskrapning;3;Sandnarv;Arenaria serpyllifolia;;
Ope;20170719;Ytskrapning;3;Stormåra;Gallium mollugo;;
Ope;20170719;Ytskrapning;3;Åkervädd;Knautia arvensis;;
Ope;20170719;Ytskrapning;4;Backskärvfrö;Noccaea caerulescens;;
Ope;20170719;Ytskrapning;4;Bockrot;Pimpinella saxifraga;;
Ope;20170719;Ytskrapning;4;Färgkulla;Cota tinctoria;;
Ope;20170719;Ytskrapning;4;Getväppling;Anthyllis vulneraria;;
Ope;20170719;Ytskrapning;4;Grustrav;Arabidopsis suecica;;
Ope;20170719;Ytskrapning;4;Käringtand;Lotus corniculatus;;
Ope;20170719;Ytskrapning;4;Maskros;Taraxacum;;
Ope;20170719;Ytskrapning;4;Maskros;Taraxacum;;
Ope;20170719;Ytskrapning;4;Rödsvingel;Festuca rubra;;
Ope;20170719;Ytskrapning;4;Röllika;Achillea millefolium;;
Ope;20170719;Ytskrapning;4;Sandnarv;Arenaria serpyllifolia;;
Ope;20170719;Ytskrapning;4;Stormåra;Gallium mollugo;;
Ope;20170719;Ytskrapning;4;Svenskfibbla;Pilosella suecica;;
Ope;20170719;Ytskrapning;4;Trifolium sp.;Trifolium sp.;;
Ope;20170719;Ytskrapning;4;Vitblära;Silene latifolia;;
Ope;20170719;Ytskrapning;5;Backskärvfrö;Noccaea caerulescens;;
Ope;20170719;Ytskrapning;5;Bockrot;Pimpinella saxifraga;;
Ope;20170719;Ytskrapning;5;Färgkulla;Cota tinctoria;;
Ope;20170719;Ytskrapning;5;Grustrav;Arabidopsis suecica;;
Ope;20170719;Ytskrapning;5;Höstfibbla;Scorzoneroides autumnalis;;
Ope;20170719;Ytskrapning;5;Klibbkorsört;Senecio viscosus;;
Ope;20170719;Ytskrapning;5;Käringtand;Lotus corniculatus;;
Ope;20170719;Ytskrapning;5;Maskros;Taraxacum;;
Ope;20170719;Ytskrapning;5;Rödsvingel;Festuca rubra;;
Ope;20170719;Ytskrapning;5;Röllika;Achillea millefolium;;
Ope;20170719;Ytskrapning;5;Sandnarv;Arenaria serpyllifolia;;
Ope;20170719;Ytskrapning;5;Skogsnäva;Geranium sylvaticum;;
Ope;20170719;Ytskrapning;5;Stormåra;Gallium mollugo;;
Ope;20170719;Ytskrapning;5;Åkervädd;Knautia arvensis;;
Ope;20170719;Ytskrapning;6;Backskärvfrö;Noccaea caerulescens;;
Ope;20170719;Ytskrapning;6;Bockrot;Pimpinella saxifraga;;
Ope;20170719;Ytskrapning;6;Färgkulla;Cota tinctoria;;
Ope;20170719;Ytskrapning;6;Grustrav;Arabidopsis suecica;;
Ope;20170719;Ytskrapning;6;Hundäxing;Dactylis glomerata;;
Ope;20170719;Ytskrapning;6;Höstfibbla;Scorzoneroides autumnalis;;
Ope;20170719;Ytskrapning;6;Klibbkorsört;Senecio viscosus;;
Ope;20170719;Ytskrapning;6;Kummin?;#N/A;groddplanta;
Ope;20170719;Ytskrapning;6;Käringtand;Lotus corniculatus;;
Ope;20170719;Ytskrapning;6;Maskros;Taraxacum;;
Ope;20170719;Ytskrapning;6;Maskros;Taraxacum;;
Ope;20170719;Ytskrapning;6;Rödklöver;Trifolium pratense;;
Ope;20170719;Ytskrapning;6;Rödsvingel;Festuca rubra;;
Ope;20170719;Ytskrapning;6;Röllika;Achillea millefolium;;
Ope;20170719;Ytskrapning;6;Sibirisk björnloka;Heracleum sphondylium subsp. sibiricum;;
Ope;20170719;Ytskrapning;6;Smörblomma;Ranunculus acris;;
Ope;20170719;Ytskrapning;6;Stormåra;Gallium mollugo;;
Ope;20170719;Ytskrapning;6;Trifolium sp.;Trifolium sp.;;
Ope;20170719;Ytskrapning;6;Åkervädd;Knautia arvensis;;
Trångsviken;20170720;Ytskrapning;1;Färgkulla;Cota tinctoria;;
Trångsviken;20170720;Ytskrapning;1;Gatkamomill;Matricaria discoidea;;
Trångsviken;20170720;Ytskrapning;1;Getväppling;Anthyllis vulneraria;;
Trångsviken;20170720;Ytskrapning;1;Grustrav;Arabidopsis suecica;;
Trångsviken;20170720;Ytskrapning;1;Gråbo;Artemisia vulgaris;;
Trångsviken;20170720;Ytskrapning;1;Höstfibbla;Scorzoneroides autumnalis;;
Trångsviken;20170720;Ytskrapning;1;Klofibbla;Crepis tectorum;;
Trångsviken;20170720;Ytskrapning;1;Kråkvicker;Vicia cracca;;
Trångsviken;20170720;Ytskrapning;1;Maskros;Taraxacum;;
Trångsviken;20170720;Ytskrapning;1;Renfana;Tanacetum vulgare;;
Trångsviken;20170720;Ytskrapning;1;Rödsvingel;Festuca rubra;;
Trångsviken;20170720;Ytskrapning;1;Småsporre;Chaenorhinum minus;;
Trångsviken;20170720;Ytskrapning;1;Trifolium sp.;Trifolium sp.;;
Trångsviken;20170720;Ytskrapning;2;Agrostis sp.;Agrostis sp.;;
Trångsviken;20170720;Ytskrapning;2;Fjällvedel;Astragalus alpinus;;
Trångsviken;20170720;Ytskrapning;2;Färgkulla;Cota tinctoria;;
Trångsviken;20170720;Ytskrapning;2;Gatkamomill;Matricaria discoidea;;
